,DrinkingWater,HazWaste,Lead,Ozone,PM25,Traffic,well_count,ZIP,PredictedPrice
72,0.0,1.0,0.0,1.0,1.0,0.0,1.0,90001,908.16956
73,1.0,0.0,1.0,1.0,0.0,1.0,0.0,90001,932.4901
74,1.0,1.0,1.0,1.0,0.0,0.0,0.0,90001,918.7971
75,1.0,0.0,1.0,1.0,0.0,0.0,1.0,90001,929.0505
76,1.0,1.0,0.0,1.0,0.0,1.0,0.0,90001,923.62177
77,1.0,0.0,0.0,1.0,0.0,1.0,1.0,90001,932.42804
78,1.0,1.0,0.0,1.0,0.0,0.0,1.0,90001,918.6428
79,0.0,1.0,1.0,1.0,0.0,1.0,0.0,90001,913.5749
80,0.0,0.0,1.0,1.0,0.0,1.0,1.0,90001,922.58765
81,0.0,1.0,1.0,1.0,0.0,0.0,1.0,90001,908.5893
82,0.0,1.0,0.0,1.0,0.0,1.0,1.0,90001,913.35187
83,1.0,0.0,1.0,0.0,1.0,1.0,0.0,90001,932.4258
84,1.0,1.0,1.0,0.0,1.0,0.0,0.0,90001,918.3277
85,1.0,0.0,1.0,0.0,1.0,0.0,1.0,90001,928.986
86,1.0,1.0,0.0,0.0,1.0,1.0,0.0,90001,923.1528
87,1.0,0.0,0.0,0.0,1.0,1.0,1.0,90001,932.3637
88,1.0,1.0,0.0,0.0,1.0,0.0,1.0,90001,918.1735
89,0.0,1.0,1.0,0.0,1.0,1.0,0.0,90001,913.0192
90,0.0,0.0,1.0,0.0,1.0,1.0,1.0,90001,922.4365
91,0.0,1.0,1.0,0.0,1.0,0.0,1.0,90001,908.0333
92,0.0,1.0,0.0,0.0,1.0,1.0,1.0,90001,912.7962
93,1.0,1.0,1.0,0.0,0.0,1.0,0.0,90001,923.41675
94,1.0,0.0,1.0,0.0,0.0,1.0,1.0,90001,932.4901
95,1.0,1.0,1.0,0.0,0.0,0.0,1.0,90001,918.43774
96,1.0,1.0,0.0,0.0,0.0,1.0,1.0,90001,923.2627
97,0.0,1.0,1.0,0.0,0.0,1.0,1.0,90001,913.2158
98,1.0,0.0,1.0,1.0,1.0,1.0,0.0,90001,932.4258
99,1.0,1.0,1.0,1.0,1.0,0.0,0.0,90001,918.6871
100,1.0,0.0,1.0,1.0,1.0,0.0,1.0,90001,928.986
101,1.0,1.0,0.0,1.0,1.0,1.0,0.0,90001,923.51196
102,1.0,0.0,0.0,1.0,1.0,1.0,1.0,90001,932.3637
103,1.0,1.0,0.0,1.0,1.0,0.0,1.0,90001,918.5329
104,0.0,1.0,1.0,1.0,1.0,1.0,0.0,90001,913.37823
105,0.0,0.0,1.0,1.0,1.0,1.0,1.0,90001,922.4365
106,0.0,1.0,1.0,1.0,1.0,0.0,1.0,90001,908.39264
107,0.0,1.0,0.0,1.0,1.0,1.0,1.0,90001,913.1553
108,1.0,1.0,1.0,1.0,0.0,1.0,0.0,90001,923.7758
109,1.0,0.0,1.0,1.0,0.0,1.0,1.0,90001,932.4901
110,1.0,1.0,1.0,1.0,0.0,0.0,1.0,90001,918.7971
111,1.0,1.0,0.0,1.0,0.0,1.0,1.0,90001,923.62177
112,0.0,1.0,1.0,1.0,0.0,1.0,1.0,90001,913.5749
113,1.0,1.0,1.0,0.0,1.0,1.0,0.0,90001,923.3069
114,1.0,0.0,1.0,0.0,1.0,1.0,1.0,90001,932.4258
115,1.0,1.0,1.0,0.0,1.0,0.0,1.0,90001,918.3277
116,1.0,1.0,0.0,0.0,1.0,1.0,1.0,90001,923.1528
117,0.0,1.0,1.0,0.0,1.0,1.0,1.0,90001,913.0192
118,1.0,1.0,1.0,0.0,0.0,1.0,1.0,90001,923.41675
119,1.0,1.0,1.0,1.0,1.0,1.0,0.0,90001,923.666
120,1.0,0.0,1.0,1.0,1.0,1.0,1.0,90001,932.4258
121,1.0,1.0,1.0,1.0,1.0,0.0,1.0,90001,918.6871
122,1.0,1.0,0.0,1.0,1.0,1.0,1.0,90001,923.51196
123,0.0,1.0,1.0,1.0,1.0,1.0,1.0,90001,913.37823
124,1.0,1.0,1.0,1.0,0.0,1.0,1.0,90001,923.7758
125,1.0,1.0,1.0,0.0,1.0,1.0,1.0,90001,923.3069
