,DrinkingWater,HazWaste,Lead,Ozone,PM25,Traffic,well_count,ZIP,PredictedPrice
0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,90853,4237.337
1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90853,4237.337
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90853,4237.337
3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,90853,4238.379
4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90853,4232.6904
5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90853,4235.752
6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,90853,4237.337
7,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90853,4237.337
8,1.0,0.0,0.0,1.0,0.0,0.0,0.0,90853,4237.337
9,0.0,0.0,1.0,1.0,0.0,0.0,0.0,90853,4238.379
10,0.0,0.0,0.0,1.0,0.0,1.0,0.0,90853,4232.6904
11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,90853,4235.752
12,0.0,0.0,0.0,1.0,0.0,0.0,1.0,90853,4237.337
13,1.0,0.0,0.0,0.0,1.0,0.0,0.0,90853,4237.337
14,0.0,0.0,1.0,0.0,1.0,0.0,0.0,90853,4238.379
15,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90853,4232.6904
16,0.0,1.0,0.0,0.0,1.0,0.0,0.0,90853,4235.752
17,0.0,0.0,0.0,0.0,1.0,0.0,1.0,90853,4237.337
18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,90853,4238.379
19,1.0,0.0,0.0,0.0,0.0,1.0,0.0,90853,4232.6904
20,1.0,1.0,0.0,0.0,0.0,0.0,0.0,90853,4235.752
21,1.0,0.0,0.0,0.0,0.0,0.0,1.0,90853,4237.337
22,0.0,0.0,1.0,0.0,0.0,1.0,0.0,90853,4233.765
23,0.0,1.0,1.0,0.0,0.0,0.0,0.0,90853,4236.805
24,0.0,0.0,1.0,0.0,0.0,0.0,1.0,90853,4238.379
25,0.0,1.0,0.0,0.0,0.0,1.0,0.0,90853,4231.0566
26,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90853,4232.6904
27,0.0,1.0,0.0,0.0,0.0,0.0,1.0,90853,4235.752
28,1.0,0.0,0.0,1.0,1.0,0.0,0.0,90853,4237.337
29,0.0,0.0,1.0,1.0,1.0,0.0,0.0,90853,4238.379
30,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90853,4232.6904
31,0.0,1.0,0.0,1.0,1.0,0.0,0.0,90853,4235.752
32,0.0,0.0,0.0,1.0,1.0,0.0,1.0,90853,4237.337
33,1.0,0.0,1.0,1.0,0.0,0.0,0.0,90853,4238.379
34,1.0,0.0,0.0,1.0,0.0,1.0,0.0,90853,4232.6904
35,1.0,1.0,0.0,1.0,0.0,0.0,0.0,90853,4235.752
