ZIP,geoid,index
90001,6037239202,1
90001,6037239330,2
90001,6037239501,3
90001,6037239502,4
90001,6037239801,5
90001,6037239802,6
90001,6037240010,7
90001,6037532700,8
90001,6037532800,9
90001,6037532900,10
90001,6037533001,11
90001,6037533002,12
90001,6037534900,13
90001,6037535001,14
90001,6037535002,15
90001,6037535101,16
90001,6037535102,17
90001,6037535300,18
90002,6037240010,1
90002,6037240020,2
90002,6037240700,3
90002,6037240800,4
90002,6037242000,5
90002,6037242100,6
90002,6037242200,7
90002,6037242300,8
90002,6037242600,9
90002,6037242700,10
90002,6037243000,11
90002,6037535102,12
90002,6037535200,13
90002,6037535300,14
90002,6037535400,15
90002,6037540300,16
90003,6037232700,1
90003,6037237102,2
90003,6037237600,3
90003,6037237710,4
90003,6037237720,5
90003,6037238310,6
90003,6037238320,7
90003,6037239201,8
90003,6037239202,9
90003,6037239310,10
90003,6037239320,11
90003,6037239330,12
90003,6037239501,13
90003,6037239502,14
90003,6037239601,15
90003,6037239602,16
90003,6037239701,17
90003,6037239702,18
90003,6037239801,19
90003,6037239802,20
90003,6037240010,21
90003,6037240020,22
90003,6037240200,23
90003,6037240300,24
90003,6037240401,25
90003,6037240402,26
90003,6037240500,27
90003,6037240600,28
90003,6037240700,29
90003,6037240800,30
90003,6037240900,31
90003,6037241110,32
90003,6037241120,33
90003,6037241201,34
90004,6037191902,1
90004,6037192300,2
90004,6037192410,3
90004,6037192420,4
90004,6037192510,5
90004,6037192520,6
90004,6037192610,7
90004,6037192620,8
90004,6037192700,9
90004,6037195802,10
90004,6037195903,11
90004,6037208610,12
90004,6037211000,13
90004,6037211121,14
90004,6037211122,15
90004,6037211201,16
90004,6037211202,17
90004,6037211310,18
90004,6037211320,19
90004,6037211410,20
90004,6037211420,21
90004,6037211500,22
90004,6037214100,23
90005,6037209401,1
90005,6037211000,2
90005,6037211120,3
90005,6037211701,4
90005,6037211704,5
90005,6037211802,6
90005,6037212101,7
90005,6037212102,8
90005,6037212202,9
90005,6037212203,10
90005,6037212204,11
90005,6037212303,12
90005,6037212304,13
90005,6037212305,14
90005,6037212306,15
90005,6037212410,16
90005,6037212420,17
90005,6037212501,18
90005,6037212502,19
90005,6037212610,20
90005,6037212620,21
90005,6037212701,22
90005,6037212702,23
90005,6037216100,24
90006,6037209401,1
90006,6037209402,2
90006,6037209510,3
90006,6037209520,4
90006,6037209810,5
90006,6037209820,6
90006,6037212202,7
90006,6037212305,8
90006,6037212306,9
90006,6037212420,10
90006,6037212501,11
90006,6037212502,12
90006,6037212620,13
90006,6037213100,14
90006,6037213201,15
90006,6037213202,16
90006,6037213310,17
90006,6037213320,18
90006,6037213401,19
90006,6037213402,20
90006,6037221110,21
90006,6037221120,22
90006,6037221210,23
90006,6037221220,24
90006,6037221302,25
90006,6037221303,26
90006,6037221602,27
90006,6037224310,28
90006,6037224320,29
90007,6037221120,1
90007,6037221220,2
90007,6037221500,3
90007,6037221601,4
90007,6037221602,5
90007,6037221710,6
90007,6037221810,7
90007,6037221820,8
90007,6037221900,9
90007,6037222100,10
90007,6037222200,11
90007,6037222500,12
90007,6037222600,13
90007,6037222700,14
90007,6037224020,15
90007,6037224320,16
90007,6037224410,17
90007,6037224420,18
90007,6037224600,19
90007,6037224700,20
90007,6037231100,21
90007,6037231210,22
90007,6037231220,23
90008,6037234000,1
90008,6037234200,2
90008,6037234300,3
90008,6037234502,4
90008,6037236000,5
90008,6037236100,6
90008,6037236202,7
90008,6037236203,8
90008,6037236204,9
90008,6037236400,10
90008,6037703100,11
90008,6037703200,12
90009,6037980028,1
90010,6037211000,1
90010,6037211120,2
90010,6037211701,3
90010,6037211704,4
90010,6037211802,5
90010,6037212101,6
90010,6037212102,7
90010,6037212203,8
90010,6037212204,9
90010,6037212303,10
90010,6037212304,11
90010,6037212410,12
90010,6037212502,13
90010,6037212610,14
90010,6037212702,15
90011,6037224020,1
90011,6037224600,2
90011,6037226001,3
90011,6037226410,4
90011,6037226420,5
90011,6037226700,6
90011,6037227010,7
90011,6037227020,8
90011,6037228100,9
90011,6037228210,10
90011,6037228220,11
90011,6037228310,12
90011,6037228320,13
90011,6037228410,14
90011,6037228420,15
90011,6037228500,16
90011,6037228600,17
90011,6037228710,18
90011,6037228720,19
90011,6037228800,20
90011,6037228900,21
90011,6037229100,22
90011,6037229200,23
90011,6037229300,24
90011,6037229410,25
90011,6037229420,26
90011,6037231100,27
90011,6037239202,28
90011,6037532700,29
90011,6037532800,30
90012,6037197600,1
90012,6037197700,2
90012,6037206010,3
90012,6037206020,4
90012,6037206031,5
90012,6037206032,6
90012,6037206200,7
90012,6037207101,8
90012,6037207102,9
90012,6037207103,10
90012,6037207301,11
90012,6037207302,12
90012,6037207400,13
90012,6037207501,14
90012,6037207502,15
90012,6037208000,16
90012,6037980010,17
90013,6037206031,1
90013,6037206200,2
90013,6037206300,3
90013,6037207301,4
90013,6037207302,5
90013,6037207502,6
90013,6037207710,7
90014,6037206300,1
90014,6037207301,2
90014,6037207302,3
90014,6037207710,4
90014,6037226002,5
90015,6037207301,1
90015,6037207710,2
90015,6037207900,3
90015,6037209300,4
90015,6037209403,5
90015,6037209520,6
90015,6037209820,7
90015,6037210010,8
90015,6037224010,9
90015,6037224020,10
90015,6037224200,11
90015,6037224320,12
90015,6037224410,13
90015,6037224420,14
90015,6037226001,15
90015,6037226002,16
90016,6037218210,1
90016,6037218220,2
90016,6037218300,3
90016,6037218400,4
90016,6037218500,5
90016,6037218600,6
90016,6037218701,7
90016,6037218702,8
90016,6037219300,9
90016,6037219500,10
90016,6037219700,11
90016,6037219800,12
90016,6037219901,13
90016,6037219902,14
90016,6037220000,15
90016,6037220100,16
90016,6037234200,17
90016,6037236000,18
90016,6037236100,19
90016,6037236202,20
90016,6037236203,21
90016,6037236204,22
90016,6037270200,23
90016,6037270300,24
90016,6037702502,25
90016,6037703100,26
90017,6037207710,1
90017,6037208000,2
90017,6037208301,3
90017,6037208302,4
90017,6037208401,5
90017,6037208902,6
90017,6037208904,7
90017,6037209102,8
90017,6037209103,9
90017,6037209104,10
90017,6037209200,11
90017,6037209300,12
90017,6037209403,13
90018,6037218110,1
90018,6037218120,2
90018,6037218701,3
90018,6037218702,4
90018,6037218800,5
90018,6037218900,6
90018,6037219010,7
90018,6037219020,8
90018,6037219300,9
90018,6037221210,10
90018,6037221302,11
90018,6037221401,12
90018,6037221402,13
90018,6037221500,14
90018,6037222001,15
90018,6037222002,16
90018,6037222100,17
90018,6037222200,18
90018,6037222500,19
90018,6037222600,20
90018,6037231300,21
90018,6037231400,22
90018,6037234000,23
90018,6037234200,24
90019,6037212620,1
90019,6037212701,2
90019,6037212702,3
90019,6037212800,4
90019,6037212900,5
90019,6037213100,6
90019,6037216100,7
90019,6037216200,8
90019,6037216300,9
90019,6037216700,10
90019,6037216800,11
90019,6037216900,12
90019,6037217100,13
90019,6037217200,14
90019,6037218110,15
90019,6037218120,16
90019,6037218210,17
90019,6037218220,18
90019,6037218300,19
90019,6037218701,20
90019,6037218800,21
90019,6037221302,22
90019,6037221303,23
90019,6037221304,24
90019,6037270300,25
90020,6037208710,1
90020,6037211000,2
90020,6037211120,3
90020,6037211121,4
90020,6037211122,5
90020,6037211310,6
90020,6037211320,7
90020,6037211410,8
90020,6037211420,9
90020,6037211500,10
90020,6037211701,11
90020,6037211703,12
90020,6037211704,13
90020,6037211802,14
90020,6037211803,15
90020,6037211804,16
90020,6037211910,17
90020,6037211921,18
90020,6037211922,19
90020,6037212101,20
90020,6037212102,21
90020,6037214100,22
90021,6037206031,1
90021,6037206300,2
90021,6037226001,3
90021,6037226002,4
90022,6037482001,1
90022,6037530202,2
90022,6037530301,3
90022,6037530302,4
90022,6037530400,5
90022,6037530500,6
90022,6037530602,7
90022,6037531000,8
90022,6037531301,9
90022,6037531502,10
90022,6037531503,11
90022,6037531504,12
90022,6037531602,13
90022,6037531603,14
90022,6037531604,15
90022,6037531701,16
90022,6037531702,17
90022,6037531800,18
90022,6037531901,19
90022,6037531902,20
90022,6037532001,21
90022,6037532302,22
90022,6037532303,23
90023,6037203900,1
90023,6037204120,2
90023,6037204300,3
90023,6037204600,4
90023,6037204700,5
90023,6037204810,6
90023,6037204820,7
90023,6037204910,8
90023,6037204920,9
90023,6037205110,10
90023,6037205120,11
90023,6037206031,12
90023,6037206050,13
90023,6037531201,14
90023,6037531202,15
90023,6037531301,16
90023,6037531302,17
90023,6037531503,18
90023,6037532302,19
90024,6037265100,1
90024,6037265201,2
90024,6037265202,3
90024,6037265301,4
90024,6037265303,5
90024,6037265304,6
90024,6037265305,7
90024,6037265420,8
90024,6037265510,9
90024,6037265520,10
90024,6037265601,11
90024,6037265602,12
90024,6037265700,13
90024,6037701100,14
90025,6037264301,1
90025,6037264302,2
90025,6037265520,3
90025,6037265601,4
90025,6037265700,5
90025,6037267100,6
90025,6037267200,7
90025,6037267300,8
