geoid,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
1400000US06037554002,6037554002,5856,.04435661,11.93490195,.58200197,614.0828406000001,66.6958502,0,6255.85673,847.8456482,0,23.5,.435,0,.2,61.63,5.96,17.57,28.1,10.6,42.7,6,23,13.97,76.52,9.51,59.9,15.3,10.28,0,12.89,1.62,0,1176
1400000US06037554101,6037554101,3548,.04435661,11.91361716,.232575468,502.5802918,80.35045212999999,0,5651.413412,761.6187768999999,0,16,.27,0,1,61.64,3.79,17.57,35,21.4,47,11.4,30.9,17.9,73.68000000000001,8.43,79.09,8.26,6.54,0,4.51,1.61,0,1105
1400000US06037554103,6037554103,1396,.04490202,11.91361716,.108611298,453.0085634,62.712592,0,5730.613281,860.7976346,0,0,.08,3,0,61.64,6.25,17.57,20.8,2.3,21.3,3.3,12.7,11.82,78.22,9.960000000000001,67.69,11.96,11.82,0,7.31,1.22,1,1318
1400000US06037554104,6037554104,2414,.04490202,11.91361716,.25861,360.5405065,64.18672220000001,0,5607.159872,966.3893321,0,4,.31,3,.5,61.64,5.98,17.57,24.8,11.8,38.5,7.8,26.9,12.39,78.70999999999999,8.91,57.54,11.27,16.74,.41,13.09,.95,0,1138
1400000US06037554105,6037554105,4478,.04435661,11.81723127,.257711585,360.5405065,56.01475222,0,5395.263469,847.6118159,0,16,.36,3,2,61.64,7.57,17.57,23.7,17.6,48.7,8.1,28.3,14.05,77.91,8.039999999999999,45.98,17.42,24.07,1.25,9.800000000000001,1.47,0,1219
1400000US06037554201,6037554201,4356,.0438112,11.825893,.782288142,338.2895984,51.96584475,0,6139.456747,2373.106205,0,33.4,.48,0,0,61.64,6.48,17.57,24.5,4.4,23.3,4.3,13.6,10.42,80.98999999999999,8.59,68.25,15.43,2.87,.23,10.79,2.43,0,1566
1400000US06037554203,6037554203,3730,.0438112,11.83423059,.303085441,360.5405065,72.17537495000001,0,5399.090088,1463.709185,0,13.55,.085,4,2,61.64,4.93,17.57,34,16.5,34.4,4.2,24.4,15.92,72.17,11.9,58.53,25.74,2.73,0,11.58,1.42,0,1027
1400000US06037554204,6037554204,4313,.0438112,11.9481473,.117311551,360.5405065,71.39747284000001,0,5729.763387,615.4353602,0,22.3,.2,3,2,61.64,4.7,17.57,19.4,12.9,51.3,3.4,27.7,14.38,71.90000000000001,13.73,59.26,13.03,14.31,0,9.23,4.17,0,1054
1400000US06037554301,6037554301,3499,.0438112,12.01505311,.780194418,481.6092813,74.76116565,0,6522.539917,3009.627452,0,39.55,2.35,0,0,51.79,6.34,14.82,27.8,6.9,32.1,5.3,20,13.26,78.31,8.43,66.16,10.77,15.32,0,7.75,0,0,1357
1400000US06037554302,6037554302,4393,.04320513,11.87162997,.813451771,295.9907291,64.55134169,1.926358696,6138.899984,2666.963784,0,39,1.22,0,0,56.53,6.85,15.34,30.2,8.9,37.3,7.3,29.7,17.25,77.98999999999999,4.76,57.75,4.94,15.16,.14,19.58,2.44,0,1348
1400000US06037554403,6037554403,5848,.04320513,11.889552,1.070378632,360.5405065,66.13720583999999,1.654371166,5744.743327,2625.959706,0,30.6,.33,0,0,60.83,6.35,16.85,28.2,11.9,44.1,5.7,26.7,14.26,74.83,10.91,49.08,13.58,24.2,.12,9.58,3.45,0,1221
1400000US06037554404,6037554404,4206,.0438112,11.7740438,.591759358,360.5405065,64.58163930000001,1.802855554,5404.733399,2679.673582,0,12.25,.01,0,.2,60.35,8.33,16.42,15.2,5.8,39.4,6.2,28,18.33,71.18000000000001,10.49,47.84,14.05,18.81,.31,16.95,2.04,0,1187
1400000US06037554405,6037554405,3015,.0438112,11.82252124,.580979985,360.5405065,59.93778642,1.827341195,5112.69987,2779.458868,0,7,0,4,1,60.78,4.71,17.36,11.2,11.3,29.9,0,29.3,16.32,70.08,13.6,46.57,21.29,18.97,.8,9.19,3.18,0,1108
1400000US06037554406,6037554406,4766,.0438112,11.8090865,.536556369,506.8352483,55.16235192,.205680264,4802.869954,2619.646631,0,0,.1,4,1.5,31.04,6.3,9.17,17.9,8.800000000000001,32.5,2.7,22.9,9.34,68.90000000000001,21.76,26.86,28.98,16.6,.1,20.77,6.69,0,1197
1400000US06037554511,6037554511,4140,.04632538,11.92103135,.122654242,344.6392884,26.47414355,0,4651.316569,985.0422998,20.5,20,1.555,7,9,38.96,6.67,11.47,8.9,16.3,14.5,5.2,10.3,8.789999999999999,71.16,20.05,12.66,12.97,5.17,0,65.14,4.06,2,2182
1400000US06037554512,6037554512,6455,.04539285,11.91379251,.378340248,344.6392884,22.0535596,0,4663.543295,1315.084616,15.25,1.5,.655,6,.9,38.96,7.93,11.47,5.2,13.8,18.3,6.5,10.3,9.449999999999999,65.87,24.68,8.18,11.48,6.32,.19,71.56,2.28,1,2631
1400000US06037554513,6037554513,2758,.04539285,11.91939602,.121394427,418.5222417,44.40078702,0,4327.600016,1419.56116,1.55,7.5,.07,0,0,34.57,9.029999999999999,10.57,2.6,14.1,12.6,3.6,18.2,12.44,66.72,20.85,10.41,9.789999999999999,5.62,0,68.17,6.02,1,2236
1400000US06037554514,6037554514,4700,.04490202,11.89070824,.634946042,387.3260008,29.28723575,0,4077.456787,2312.729706,1.2,6,.4,0,0,30.53,4.31,9.68,7.5,10.5,20.9,4.4,10.4,7.81,74.06,18.13,17.68,12.89,9.34,0,57.11,2.98,0,1951
