,ZIP,geoid_x,index,geoid_y,geoid2,TotalPopulation,Ozone,PM25,DieselPM,DrinkingWater,Lead,Pesticides,ToxRelease,Traffic,CleanupSites,GroundwaterThreats,HazWaste,ImpWaterBodies,SolidWaste,Asthma,LowBirthWeight,CardiovascularDisease,Education,LinguisticIsolation,Poverty,Unemployment,HousingBurden,Children10years,Pop1064years,Elderly64years,Hispanic,White,AfricanAmerican,NativeAmerican,AsianAmerican,OtherMultiple,well_count,median_rent
0,90001,6037239202,1,1400000US06037239202,6037239202,1.0657476629458629,-0.8478366978297759,0.4849327922760033,-0.1953219052155214,0.996475801393796,1.4100530991103664,-0.0487874354894081,0.0414336435847483,-0.3798089287083595,6.656380643803694,1.39327650245573,-0.1465870784761936,-0.7142963881108262,0.8606150089249999,1.1020535987832112,0.6213406485824415,1.5531754955960937,1.8884691968026843,0.9092247022369117,1.2073668624434597,0.8510242792973316,2.6450662033772336,1.1846243361668658,0.7623378679863686,-1.472381463570409,1.5032919170414678,-1.0663382272349018,-0.0400528027946943,0.0951410731086918,-0.9144378705935218,-0.8601343536648496,-0.1461774078696717,1140.0
1,90003,6037239202,9,1400000US06037239202,6037239202,1.0657476629458629,-0.8478366978297759,0.4849327922760033,-0.1953219052155214,0.996475801393796,1.4100530991103664,-0.0487874354894081,0.0414336435847483,-0.3798089287083595,6.656380643803694,1.39327650245573,-0.1465870784761936,-0.7142963881108262,0.8606150089249999,1.1020535987832112,0.6213406485824415,1.5531754955960937,1.8884691968026843,0.9092247022369117,1.2073668624434597,0.8510242792973316,2.6450662033772336,1.1846243361668658,0.7623378679863686,-1.472381463570409,1.5032919170414678,-1.0663382272349018,-0.0400528027946943,0.0951410731086918,-0.9144378705935218,-0.8601343536648496,-0.1461774078696717,1140.0
2,90011,6037239202,28,1400000US06037239202,6037239202,1.0657476629458629,-0.8478366978297759,0.4849327922760033,-0.1953219052155214,0.996475801393796,1.4100530991103664,-0.0487874354894081,0.0414336435847483,-0.3798089287083595,6.656380643803694,1.39327650245573,-0.1465870784761936,-0.7142963881108262,0.8606150089249999,1.1020535987832112,0.6213406485824415,1.5531754955960937,1.8884691968026843,0.9092247022369117,1.2073668624434597,0.8510242792973316,2.6450662033772336,1.1846243361668658,0.7623378679863686,-1.472381463570409,1.5032919170414678,-1.0663382272349018,-0.0400528027946943,0.0951410731086918,-0.9144378705935218,-0.8601343536648496,-0.1461774078696717,1140.0
3,90001,6037239330,2,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
4,90003,6037239330,12,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
5,90030,6037239330,1,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
6,90051,6037239330,1,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
7,90052,6037239330,1,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
8,90054,6037239330,1,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
9,90059,6037239330,1,1400000US06037239330,6037239330,-1.1500822069235928,-0.8478366978297759,0.4861741729488085,-0.3004738045523082,0.996475801393796,1.3807484781594015,-0.0487874354894081,0.1098326772054949,-0.1980988246073557,3.2423634083737456,0.6570747786550373,-0.2083595768818736,-0.7142963881108262,0.1125236244356233,2.129462317779744,0.8021968146961869,2.923056498843342,1.7160769788666297,-0.5722344273577629,1.408109465731278,-0.0764341457805505,2.078861647556009,0.9072351325107691,0.4530606727227946,-1.00639918590626,1.3323735401723231,-1.0404859153696369,0.3503720007058704,-0.0938254997334997,-0.9144378705935218,-0.6640318402374171,-0.1461774078696717,1078.0
